Title,Content
"Relationship between chemical composition and physical State of used nanomaterials in nanotechnology companies with type and prevalance of symptoms of employees of these companies in Tehran, Iran","Background and aims: Decades after the introduction of nanotechnology as a new field of research and production, the speed of development of this field has been remarkable. These advances have enabled nanomaterials to be used in various fields and industries including electronics, optics, consumer goods, production and storage of energy, soil and water conservation, as well as in medicine for therapeutic and diagnostic purposes. Worldwide sales of nanomaterials were US $ 22.9 billion in 2013 and with annual growth of 19.8%, it is expected to reach US $ 64.2 billion by the end of 2019. Therefore, many economists consider the production and use of nanomaterials as an integral part of future economic activities. These advances are due to the unique physico-chemical and biological properties of nanoscale materials. The large surface-to-volume ratio and small size and surface characteristics of nanomaterials are the most important physico-chemical properties of them. The specific physico-chemical properties of nanomaterials have led them to show specific behaviors in interaction with biological systems. The most important of these behaviors are moving towards secondary target organs, poor clearance by macrophages, the ability to transmit through the axons of sensory neurons, and to reach intracellular structures such as mitochondria and the nucleus. These properties, in addition to their many applications, have also raised concerns about the potential effects of these substances on human health and the environment. These concerns have generated a large wave of research in the fields of nanomaterials safety, health and toxicology. Forecasts show that the number of staff exposed to nanomaterials will reach about 6 million by the end of 2020. Concerns are increasing day by day as the number of workers exposed to nanomaterials increases. In Iran, more than 200 companies are active in the field of production and using nanomaterials. These companies have received 517 nanoscale certification for their products, until January 2019. Their products are exported to 49 countries and 5 continents worldwide. The increasing growth of these activities in the country necessitates attention to the safety, health and environmental aspects of nanotechnology. According to what was said, this study aimed to investigate the relationship between the symptoms of employees of nanomaterials producing and consuming companies with chemical composition (as a factor affecting the type and severity of effects) and physical state (as an influencing factor on exposure) of the nanomaterials. Methods: The present study is a descriptive cross-sectional study carried out in 2018 among employees of nanotechnology companies in Tehran. Specifications of the companies were provided by correspondence with the Ministry of Industry, Mine & Trade. Of the companies invited, 52 companies agreed to participate in the study. Staff symptoms were assessed using a nonspecific symptoms questionnaire. The questionnaire was designed and validated in a period of two months by a team of 19 experts in the fields of occupational health, occupational medicine, toxicology, medical nanotechnology and health education. The required information about the occupational characteristics, chemical composition and physical state of the nanomaterials used in the companies was also collected using the NanoTool method form. The questionnaire and the form were then emailed to staff exposed to nanomaterials. Staff inclusion criteria were ""to have direct exposure to nanomaterials, that is, to produce or consume nanomaterials during their daily working processes"" and ""to have at least one year of experience"". Of the 52 companies that agreed to participate in the study, 198 completed questionnaires and completed forms were received. Finally, data were analyzed using SPSS.22 software. Frequency distribution tables and Chi-squared test, Fisher exact test and Kruskal-Wallis test were used for this purpose. Results: The study of the characteristics of the participants showed that their mean age was 33.76 (SD = 6.108) years; Their average work experience was 6.76 (SD = 5.217) years. Study participants were well educated, with 61.2% having a master's or doctorate degree. 49% (96) of the subjects were men and 51% (100) of them were women. Manufactured/consumed nanomaterials in companies were investigated in similar groups in terms of chemical composition (metal, metal oxide, carbonous and the others) and physical state (dry powder, suspension/ emulsion, paste/gel and the others). The results of investigating the frequency of symptoms of nanotechnology companies’ employees using nonspecific symptoms questionnaire showed that the frequency of some skin symptoms such as ""redness"", ""itching"" and ""roughness"" were 72.7%, 67.2% and 62.6%, respectively. The frequency of some respiratory symptoms were also high; ""cough"" (64.1%), ""sneezing"" (60.6%) and ""sore throat"" (60.1%). High-frequency ocular symptoms included ""eye irritation"" (66.2%), ""itchy eyes"" (28.3%), and ""red eyes"" (25.3%). Investigation of the correlation between the skin symptoms of the employees with the chemical composition and physical state of the nanomaterials used in the companies showed that the symptoms ""skin roughness"", ""skin itching"", ""skin rash"" and ""hair loss"" have significant correlation with the physical state of nanomaterials and ""skin redness"", "" Skin darkness ""and"" skin rash"" have significant relationship with the chemical composition of nanomaterials. Investigation of the relationship between employees' gastrointestinal symptoms with the chemical composition and physical state of the nanomaterials used in the companies showed that the symptoms ""appetite suppression"", ""thirst"", ""nausea/ vomiting"" and ""darkness of stool color"" have significant relationship with the physical state of nanomaterials and ""thirst"", ""Nausea/vomiting"" and ""inability to detect taste"" have significant relationship with the chemical composition of nanomaterials. Evaluation of the relationship between neurological symptoms of staff with the physical state and chemical composition of nanomaterials showed the significant relationship between ""movement problems"" and chemical composition of nanomaterials. Also, ""dizziness"" and ""sleeplessness/ wakefulness"" were significantly associated with both the chemical composition and the physical state of the nanomaterials. Investigating the relationship between the chemical composition and physical state of the nanomaterials with the respiratory symptoms of staff revealed ""shortness of breath"", ""wheezing"", ""chest heaviness"", ""difficult breathing"", ""increased phlegm"" and ""voice change"" significantly correlated with both the chemical composition and the physical state of the nanomaterials. ""Cough"" was also significantly associated with the chemical composition of the nanomaterials. Examination of the correlation between ophthalmic symptoms and chemical composition and physical state of nanomaterials indicated that the symptoms ""blurred vision"" and ""visual impairment"" were significantly correlated with the chemical composition of the nanomaterials. Also, ""increased eye gum"" and ""red eyes"" were significantly associated with both the chemical composition and the physical state of the nanomaterials. Conclusion: Given the frequency of symptoms among staff exposed to nanomaterials, their statistical association with the chemical composition and physical state of nanomaterials, Staff 's attitude toward nanomaterials that are generally considered safe, inadequate and generally inappropriate use of personal protective equipment appropriate to work with nanomaterials and lack of education and training about the effects of nanomaterials on health and the environment, existing these symptoms among the employees of these companies are reasonable and that is an important issue. Therefore, the following are suggested to reduce occupational exposure to nanomaterials: Provide adequate training for the staff of these companies in the areas of basic concepts of nanosafety, standard work procedures when working with nanomaterials, appropriate personal protective equipment for working with nanomaterials and using them properly and waste management of nanomaterials."
Self-Protecting Biomimetic Nanozyme for Selective and Synergistic Clearance of Peripheral Amyloid-β in an Alzheimer's Disease Model,"Clearance of peripheral amyloid-β (Aβ) has been demonstrated to be promising for overcoming the blood-brain barrier (BBB) hurdle to eliminate brain-derived Aβ associated with Alzheimer's disease (AD). Even so, current developed therapeutic assays for clearance of peripheral Aβ are still facing challenges on how to avoid interference of certain biological molecules and prevent triggering the activation of immune responses and blood clotting. Here, a biomimetic nanozyme (CuxO@EM-K) with augmented protein adsorption resistance, minimized immunogenicity, and enhanced biocompatibility is designed and synthesized. The CuxO@EM-K is made of CuxO nanozyme wrapped with modified 3xTg-AD mouse erythrocyte membrane with Aβ-targeting pentapeptide KLVFF. KLVFF serves as Aβ-specific ligand that works together with erythrocyte membrane to selectively capture Aβ in the blood. Meanwhile, the erythrocyte membrane coating prevents protein coronas formation and thus retains Aβ-targeting ability of CuxO@EM-K in biological fluids. More importantly, the CuxO core with multiple antioxidant enzyme-like activities stabilizes the outer erythrocyte membrane and simultaneously mitigates Aβ-induced membrane oxidative damage, which enables the extended systemic circulation indispensable for adsorbing Aβ. In vivo studies demonstrate that CuxO@EM-K not only reduces Aβ burden in the blood and brain but also ameliorates memory deficits in the widely used 3xTg-AD mouse model. Moreover, CuxO@EM-K shows no apparent toxicity in 3xTg-AD mice. Overall, this work provides an example for developing biocompatible and synergistic clearance of peripheral Aβ associated with AD."
Phage capsid nanoparticles as multivalent inhibitors of viral infections,
Bacterial Outer Membrane Vesicles Presenting Programmed Death 1 for Improved Cancer Immunotherapy via Immune Activation and Checkpoint Inhibition,"Natural, extracellular membrane vesicles secreted by Gram-negative bacteria, outer membrane vesicles (OMVs), contain numerous pathogen-associated molecular patterns which can activate systemic immune responses. Previous studies have shown that OMVs induce strong IFN-Î- A nd T cell-mediated anti-tumor effects in mice. However, IFN-γis known to upregulate immunosuppressive factors in the tumor microenvironment, especially the immune checkpoint programmed death 1 ligand 1 (PD-L1), which may hamper T cell function and limit immunotherapeutic effectiveness. Here, we report the development of genetically engineered OMVs whose surface has been modified by insertion of the ectodomain of programmed death 1 (PD1). This genetic modification does not affect the ability of OMVs to trigger immune activation. More importantly, the engineered OMV-PD1 can bind to PD-L1 on the tumor cell surface and facilitate its internalization and reduction, thereby protecting T cells from the PD1/PD-L1 immune inhibitory axis. Through the combined effects of immune activation and checkpoint suppression, the engineered OMVs drive the accumulation of effector T cells in the tumor, which, in turn, leads to a greater impairment of tumor growth, compared with not only native OMVs but also the commonly used PD-L1 antibody. In conclusion, this work demonstrates the potential of bioengineered OMVs as effective immunotherapeutic agents that can comprehensively regulate the tumor immune microenvironment to effect markedly increased anti-tumor efficacy."
Bright Aggregation-Induced Emission Nanoparticles for Two-Photon Imaging and Localized Compound Therapy of Cancers,"Photodynamic therapy (PDT), a noninvasive therapeutic strategy for cancer treatment, which always suffers from the low reactive oxygen species (ROS) yield of traditional organic dyes. Herein, we present lipid-encapsulated aggregation-induced emission nanoparticles (AIE NPs) that have a high quantum yield (23%) and a maximum two-photon absorption (TPA) cross-section of 560 GM irradiated by near-infrared light (800 nm). The AIE NPs can serve as imaging agents for spatiotemporal imaging of tumor tissues with a penetration depth up to 505 μm on mice melanoma model. Importantly, the AIE NPs can simultaneously generate singlet oxygen (1O2) and highly toxic hydroxyl radicals (â?¢OH) upon irradiation with 800 nm irradiation for photodynamic tumor ablation. In addition, the AIE NPs can be effectively cleared from the mouse body after the imaging and therapy. This study provides a strategy to develop theranostic agents for cancer image-guided PDT with high brightness, superior photostability, and high biosafety."
Combinatorial miRNA-34a replenishment and irinotecan delivery: Via auto-fluorescent polymeric hybrid micelles for synchronous colorectal cancer theranostics,"The synergistic combination of microRNA (miRNA) modulation and chemotherapy has emerged as an effective strategy to combat cancer. Irinotecan (IRI) is a potent antitumor chemotherapeutic in clinical practice and has been used for treating various malignant tumors, including colorectal cancer (CRC). However, IRI is not effective for advanced CRC or metastatic behavior. Herein, novel polymeric hybrid micelles were engineered based on two different amphiphilic copolymers, polyethyleneimine-poly(d,l-lactide) (PEI-PLA) and 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-[methoxy (polyethyleneglycol) (DSPE-PEG), in which IRI and a tumor suppressive microRNA-34a (miR-34a) gene were efficiently co-loaded (MINPs) to achieve a chemo-miRNA combination therapy against CRC. MINPs were successfully constructed by two-step film dispersion and electrostatic interaction methods. IRI and miR-34a could be efficaciously encapsulated as MINPs and transferred to CRC cells. After encapsulation, MINPs would then upregulate miR-34a expression and regulate miR-34a-related downstream genes, which in turn led to enhanced cell cytotoxicity and apoptosis ratios. MINPs presented an excitation-dependent multi-wavelength emission feature due to the intrinstic fluorescence properties of PEI-PLA and could be utilized for in vitro/vivo imaging. According to the in vivo experimental results, MINPs possess the great characteristic of accumulating in situ in a tumor site and lightening it after intravenous administration. Furthermore, MINPs presented extraordinary antitumor efficacy owing to the combined therapy effects of IRI and miR-34a with good biocompability. Overall, our findings validated MINPs-mediated miR-34a replenishment and IRI co-delivery to serve as an effective theranostic platform and provided an innovative horizon for combining chemo-gene therapy against CRC."
"Bi<sup>3+</sup>-Doped BaYF<inf>5</inf>:Yb,Er Upconversion Nanoparticles with Enhanced Luminescence and Application Case for X-ray Computed Tomography Imaging","In this work, BaYF5:20%Yb3+/2%Er3+/x%Bi3+ (abbreviated as BaYF5:Yb,Er,Bix, where x = 0-3.0) upconversion nanoparticles (UCNPs) with various doping concentrations of Bi3+ were synthesized through a simple hydrothermal method. The influence of the doping amount of Bi3+ on the microstructures and upconversion luminescence (UCL) properties of the BaYF5:Yb,Er,Bix UCNPs was studied in detail. The doping concentration of Bi3+ has little influence on the microstructures of the UCNPs but significantly impacts their UCL intensities. Under excitation of a 980 nm near-IR laser, the observed UCL intensities for the BaYF5:Yb,Er,Bix UCNPs display first an increasing trend and then a decreasing trend with an increase in the ratio x, giving a maximum at x = 2.5. A possible energy-transfer process and simplified energy levels of the BaYF5:Yb,Er,Bix UCNPs were proposed. The potential of the BaYF5:Yb,Er,Bix UCNPs as contrast agents for computerized tomography (CT) imaging was successfully demonstrated. An obvious accumulation of BaYF5:Yb,Er,Bix in tumor sites was achieved because of high passive targeting by the enhanced permeability and retention effect and relatively low uptake by a reticuloendothelial system such as liver and spleen. This work paves a new route for the design of luminescence-enhanced UNCPs as promising bioimaging agents for cancer theranostics."
"Activating the Antibacterial Effect of 4,6-Diamino-2-pyrimidinethiol-Modified Gold Nanoparticles by Reducing their Sizes","Adequately decorated gold nanoparticles (GNPs) have excellent antibiotic activities against multidrug-resistant (MDR) bacteria. Nanoparticles exhibiting Gram selective antibacterial actions are beneficial to precise therapy. Here, we present a strategy to tune the antibacterial spectrum of a small molecule (4,6-diamino-2-pyrimidinethiol, DAPT)-modified GNPs (DAPT-GNPs, DGNPs) by adjusting their sizes. Compared to large (ca. 14 nm diameter) DGNPs (lDGNPs) and medium-sized (3–4 nm diameter) DGNPs (mDGNPs), which have no antibacterial effect or only target Gram-negative (G−) bacteria, ultrasmall DGNPs (uDGNPs, <2 nm) have a broad antibacterial spectrum, especially showing an over 60-fold increase in antibacterial efficacy against Gram-positive (G+) bacteria. Moreover, the uDGNPs-functionalized scaffolds (agarose gel) can serve as general wound dressings for healing burnt infections. Our strategy is insightful for exploring properties of the nanomaterials and their applications."
"Perspective: The Lung, Particles, Fibers, Nanomaterials, and Autoimmunity","Studies have shown that a wide range of factors including drugs, chemicals, microbes, and other environmental agents can induce pre-clinical autoimmunity. However, only a few have been confidently linked to autoimmune diseases. Among these are exposures to inhaled particulates that are known to be associated with autoimmune diseases such as lupus and rheumatoid arthritis. In this article, the potential of particle, fiber, and nanomaterial exposures to induce autoimmunity is discussed. It is hypothesized that inhalation of particulate material known to be associated with human autoimmune diseases, such as cigarette smoke and crystalline silica, results in a complex interplay of a number of pathological processes, including, toxicity, oxidative stress, cell and tissue damage, chronic inflammation, post-translational modification of self-antigens, and the formation of lymphoid follicles that provide a milieu for the accumulation of autoreactive B and T cells necessary for the development and persistence of autoimmune responses, leading to disease. Although experimental studies show nanomaterials are capable of inducing several of the above features, there is no evidence that this matures to autoimmune disease. The procession of events hypothesized here provides a foundation from which to pursue experimental studies to determine the potential of other environmental exposures to induce autoimmunity and autoimmune disease."
"Supernucleation, crystalline structure and thermal stability of bacterially synthesized poly(3-hydroxybutyrate) polyester tailored by thymine as a biocompatible nucleating agent","Naturally occurring thymine (TM) was incorporated into bacterial poly(3-hydroxybutyrate) (PHB) polyester to fabricate a novel and green biocomposite. Both 0.5% and 1% TM exhibit supernucleation effect on PHB, and crystallization kinetics suggests TM significantly increased Tc and Xc, and substantially shortened t1/2 of PHB. Epitaxial nucleation caused by a perfect crystal lattice matching between PHB and TM, was proposed to elucidate nucleation mechanism of PHB. Hydrogen bond interaction exists between C[dbnd]O, C–O–C groups of PHB and –CH3 (or –CH)/–NH– group of TM. TM interacted with C[dbnd]O group of PHB crystalline phase rather than that of amorphous one. In addition, two new IR crystalline bands assigned to C–O–C group of PHB appeared in the presence of TM, which arises from shift of two amorphous ones, respectively. TM enhanced onset thermal degradation temperature of PHB, mainly attributed to increased degree of crystallinity of PHB and flame retardance effect of TM."
