Date,Title,Content
2010-12-15,Pulmonary responses to printer toner particles in mice after intratracheal instillation,"The release of ultrafine particles from office equipment is currently receiving great concerns due to its potential threat to human health when inhaled. Printer toner is one of the largest consumables in daily office work, and the particles released from printers and photocopiers may pose damage to respiratory system. In this study, we found the particles can be released into the surrounding environment during the printing process and the concentrations of PM2.5 and PM10 particles increased obviously. To evaluate the time-course pulmonary responses caused by toner particles, the toner suspension was instilled into the lungs of the male mice through intratracheally instillation every other day for four times and the pulmonary responses of the lung were monitored at days 9, 28, 56 and 84. Indeed, mice treated with toner particles displayed a slower body weight growth rate during the recovery phase. The total cell number in bronchoalveolar lavage fluids (BALF) of toner-exposed groups was much higher than the saline-treated groups. The total protein, lactate dehydrogenase and acid phosphatase in BALF exhibited significant changes (p<0.05 or p<0.01) at different time points. The nitric oxide synthase, interleukin 1-beta, and interleukin 6 in the lung tissue of the toner-exposed groups also exhibited significant changes (p<0.05 or p<0.01). The pathological examination showed that toner particles can adhere to the alveolar septal walls, then enter into the alveoli and cause pulmonary lesion. During the experimental period, particles phagocytosed by alveolar macrophages (AMs) led to an increase of both AMs number and apoptosis. The pulmonary stress still remained over time even with a clearance period for 12 weeks. These results indicate that exposure to toner particles can inhibit the normal growth of the mice and induce significant inflammatory responses and lesion in the lung tissues. The health and safety effects from working indoors in offices with fumes and particles released from photocopiers and printers need to be paid more attention. © 2010 Elsevier Ireland Ltd."
2010-12-14,Strategy for the modification of electrospun fibers that allows diverse functional groups for biomolecular entrapment,"A method to functionalize surfaces of electrospun (ES) fibers under relatively mild, aqueous conditions, that allows diverse functional groups for biomolecular entrapment, was reported. A well-developed biosilicification of certain marine organisms that catalyze silica acid polymerization under physiological conditions via proteins called silaffins is employed. To initiate homogeneous polymerization of silica acid on fibers, the initiator, 2-(dimethylamino) ethylmethacrylate (DMAEMA), was introduced, onto surfaces via atom transfer radical polymerization (ATRP). The results show that highly dense DMAEMA could be easily achieved to precipitate silica layer with thickness of 100 nm within 10 min. Precursors of organosilane are likely to strongly adsorb on the PDMAEMA via electrostatic interactions and polymerize to form networks to further concrete on them."
2010-12-10,Management of nanomaterials safety in research environment,"Despite numerous discussions, workshops, reviews and reports about responsible development of nanotechnology, information describing health and environmental risk of engineered nanoparticles or nanomaterials is severely lacking and thus insufficient for completing rigorous risk assessment on their use. However, since preliminary scientific evaluations indicate that there are reasonable suspicions that activities involving nanomaterials might have damaging effects on human health; the precautionary principle must be applied. Public and private institutions as well as industries have the duty to adopt preventive and protective measures proportionate to the risk intensity and the desired level of protection. In this work, we present a practical, 'user-friendly' procedure for a university-wide safety and health management of nanomaterials, developed as a multi-stakeholder effort (government, accident insurance, researchers and experts for occupational safety and health). The process starts using a schematic decision tree that allows classifying the nano laboratory into three hazard classes similar to a control banding approach (from Nano 3 - highest hazard to Nano1 - lowest hazard). Classifying laboratories into risk classes would require considering actual or potential exposure to the nanomaterial as well as statistical data on health effects of exposure. Due to the fact that these data (as well as exposure limits for each individual material) are not available, risk classes could not be determined. For each hazard level we then provide a list of required risk mitigation measures (technical, organizational and personal). The target 'users' of this safety and health methodology are researchers and safety officers. They can rapidly access the precautionary hazard class of their activities and the corresponding adequate safety and health measures. We succeed in convincing scientist dealing with nano-activities that adequate safety measures and management are promoting innovation and discoveries by ensuring them a safe environment even in the case of very novel products. The proposed measures are not considered as constraints but as a support to their research. This methodology is being implemented at the Ecole Polytechnique de Lausanne in over 100 research labs dealing with nanomaterials. It is our opinion that it would be useful to other research and academia institutions as well. © 2010 Groso et al; licensee BioMed Central Ltd."
2010-12-07,In vitro model on glass surfaces for complex interactions between different types of cells,"This report establishes an in vitro model on glass surfaces for patterning multiple types of cells to simulate cell-cell interactions in vivo. The model employs a microfluidic system and poly(ethylene glycol)-terminated oxysilane (PEG-oxysilane) to modify glass surfaces in order to resist cell adhesion. The system allows the selective confinement of different types of cells to realize complete confinement, partial confinement, and no confinement of three types of cells on glass surfaces. The model was applied to study intercellular interactions among human umbilical vein endothelial cells (HUVEC), PLA 801 C and PLA801 D cells. © 2010 American Chemical Society."
2010-12-01,"The evolving nanotechnology environmental, health, and safety landscape: A business perspective",
2010-12-01,Cytotoxicity of magnetic nanocomposite spheres for possible drug delivery systems,"Cytotoxicity test is a rapid and standardized in vitro method to determine the harmful effects of materials used for biomedical purposes, such as drug carriers, implants and their coatings, biosensors and surgical/medical devices. In the present study, sol-gel driven nickel ferrite (NiFe2O 4) and cobalt ferrite (CoFe2O4) nanoparticles (10-25 nm) at different concentrations were incorporated into biodegradable polymer, poly(lactic-co-glycolic acid) (PLGA), using oil-in-oil emulsion/solvent evaporation technique, and then the cytotoxicity of magnetic nanocomposite spheres was characterized using raw cells. The test provides the toxicity of the products prior to their real applications, which may limit animal experimentation, remove potential toxic compounds and reduce the downstream costs. The cytotoxicity results showed that both magnetic nanocomposite spheres were toxic at some degree to the raw cells; however, the cobalt ferrite nanoparticles in nanocomposite spheres are more toxic than the nickel ferrite nanoparticles. Copyright © 2010 by ASME."
2010-12-01,Selected peer-reviewed papers from the international conference on nanotoxicology (ICNT2008),
2010-12-01,Laser-induced microbubbles in gold and oxide nanoparticle suspensions: Photoacoustic detection,"A tunable pulsed laser with nano-second pulse duration is used to generate microbubbles in highly diluted nanoparticle (Au, TiO2 and ZnO) suspensions. The microbubble explosion may produce shock wave which is in-phase detected by a low-frequency piezoelectric transducer. The effects of particle size and category on the threshold laser fluence of shock wave generation and the wave intensity are investigated. The interaction between laser and nanoparticles has significant application in biomedicine such as photothermal diagnostic and therapy, as well as cosmetic or drug delivery in skin. © 2010 SPIE."
2010-12-01,Effects of copper nanoparticles on the development of zebrafish embryos,"The environmental behavior and the potential toxicity of copper nanoparticles (nano-Cu) in water are major concerns for assessing their environmental safety. The present study was undertaken to characterize the properties of nano-Cu in E3 medium, such as size changes, solubility, zeta-potential and pH, and to test the toxicity of nano-Cu suspension to zebrafish embryos. Dynamic light scattering and solubility experiments showed that three components coexisted in the nano-Cu exposure system, including small nano-Cu aggregates still suspended in E3 medium, large nano-Cu aggregates deposited on the container bottom and dissolved copper species (Cu (dis)). Both the zeta-potential of nano-Cu particles in E3 medium and the pH of the nano-Cu suspension showed no change during a 24 hour period. It is found that nano-Cu retarded the hatching of zebrafish embryos and caused morphological malformation of the larvae, and high concentrations (>0.1 mg/L) of nano-Cu even killed the gastrula-stage zebrafish embryos. Cu 2+ ions were used to study the toxicity caused by nano-Cu dissolution. The embryo toxicity of nano-Cu at 0.01 and 0.05 mg/L showed no significant difference from Cu 2+ at the corresponding concentrations (0.006 and 0.03 mg/L), but 0.1 mg/L nano-Cu had a greater toxicity than 0.06 mg/L Cu 2+. Copyright © 2010 American Scientific Publishers."
2010-12-01,Surface modification induced shielding effects on electron orbital coupling in metallofullerene,"The electronic properties of four metallofullerenol samples (La@C 82(OH) 32, La@C 82(OH) 24, La@C 82(OH) 18, La@C 82(OH) 12) and La@C 82 were investigated by synchrotron radiation photo-electron emission spectra (PES). A new emission peak with binding energy of 13.9 eV, which is attributed to La 5d orbitals coupling with nanocage orbitals, is observed in PES of La@C 82 for the first time. This suggestion is also supported by previous DFT calculations. Furthermore, the new emission peak disappears when the surface of La@C 82 is modified with specific numbers of OH groups, which means the electron orbital coupling between inner metallic atoms and outer nanocage in metallofullerene could be shielded by surface modifications on the outer nanocage. Copyright © 2010 American Scientific Publishers."
