Date,Title,Content
2010-12-01,Reinventing Thailand: Thaksin and his foreign policy,"From 2001 to 2006, Prime Minister Thaksin Shinawatra transformed Thailand's international role from one of obscurity into a kind of regional hegemon. Thaksin's diplomatic ambitions were reflected in his myriad of grandiose foreign policy initiatives, designed to locate Thailand at the forefront of regional politics and reinstall the Thai sphere of influence over weaker neighbouring states. He abolished the traditional bending-with-the-wind foreign policy, revamped the Thai Foreign Ministry, and empowered Thai envoys through the CEO Ambassadors programme. But in this process, Thaksin was accused of exploiting foreign policy to enrich his business empire. Thaksin's reinvention of Thailand as an up-and-coming regional power was therefore tainted by conflicts of interest and the absence of ethical principles in the country's foreign policy. © 2010 Institute of Southeast Asian Studies. All rights reserved."
2010-12-01,The Wars of the Roses,"The Wars of the Roses (1455-85) were a major turning point in English history. But the underlying causes for the successive upheavals have been hotly contested by historians ever since. In this original and stimulating new synthesis, distinguished historian Michael Hicks examines the difficult economic, military, and financial crises and explains, for the first time, the real reasons why the Wars of the Roses began, why they kept recurring, and why, eventually, they ceased. Alongside fresh assessments of key personalities, Hicks sheds new light on the significance of the involvement of the people in politics, the intervention of foreign powers in English affairs, and a fifteenth-century credit crunch. Combining a meticulous dissection of competing dynamics with a clear account of the course of events, this is a definitive and indispensable history of a compelling, complex period. © 2010 Michael Hicks. All rights reserved."
2010-12-01,Social media and customer dialog management at Starbucks,"While listening to and learning from customers has long been recognized as important, social media are fundamentally changing interaction between firms and customers. To help understand this changing interaction, we conceptualize customer dialog management in a Megaphone, Magnet, and Monitor (3-M) framework, with the Megaphone representing firm-to-customer communication, the Magnet customer-to-firm, communication and the Monitor customer-to-customer interaction. This framework provides a structure for understanding the opportunities and risks presented by social media. We describe an in-depth case study of Starbucks, a firm widely regarded as a leader in corporate use of social media. Using the 3-M framework, we identify the challenges social media introduce and offer case-based examples of how to manage these challenges. Based on our analysis, we provide guidelines that can assist firms in navigating the evolving environment of social-media-based customer dialog. © 2010 University of Minnesota."
2010-11-01,"Availability of body art facilities and body art piercing do not predict hepatitis C acquisition among injection drug users in Montreal, Canada: Results from a cohort study","Background: Cross-sectional associations suggest that body art piercing (BAP) is a risk factor for hepatitis C (HCV) infection among injection drug users. The temporal basis of the relationship has not been established. Methods: Associations between HCV seropositivity, HCV incidence, recent BAP and BAP facility availability were evaluated among IDUs followed biannually between 2004 and 2008 in Montreal, Canada. A geographic information system was used to determine the availability of BAP facilities for each participant. Statistical models included individual and neighbourhood covariates. Logistic regression was used for analysis of HCV seropositivity. Cox proportional hazards regression was used for analysis of HCV incidence. Results: Of 784 IDUs, 73% were seropositive for HCV. In multivariable logistic regression, HCV seropositivity was associated with BAP availability (OR: 1.32 95% confidence interval (CI): 1.1, 1.6) but not recent BAP. Of 145 initially HCV-negative participants, 52 seroconverted to HCV for an incidence of 27.7/100 person-years (95%CI: 20.9, 36.0). Crude hazard ratios (HR) for the association between HCV infection and BAP variables were: recent BAP, HR 0.98 (95%CI: 0.4, 2.7) and BAP facilities availability, HR 1.43 (95%CI: 1.1, 1.9). After accounting for individual and neighbourhood factors, crude associations between HCV infection and recent BAP and BAP facilities availability were: HR recent BAP, 0.96, 95%CI: 0.3, 2.7; and HR BAP facility availability, 1.21, 95%CI: 0.9, 1.7. Conclusion: BAP facility availability is a marker of neighbourhood disadvantage associated with HCV seropositivity. Longitudinal analyses accounting for behaviour risk factors and neighbourhood characteristics do not support a temporal association between BAP acquisition, BAP facility availability, and HCV infection among IDUs. © 2010 Elsevier B.V."
2010-09-01,"From the Simpsons to ""The Simpsons of the South Pacific"": New Zealand's first primetime animation, bro'Town","New Zealand's first primetime animated program, bro'Town, ran successfully for five seasons between 2004 and 2009. Described by its creators as a ""modern-day non-PC satire,"" bro'Town focuses on five New Zealand teenagers of Samoan and Maori ethnicities growing up in Auckland. While the program was promoted as ""The Simpsons of the South Pacific,"" its audience, critics, and politicians have celebrated it as a twenty-first-century New Zealand creative success story. This article explores the historical, cultural, and economic forces that have shaped bro'Town in the context of the debates on media globalization using the framework of hybridity as ""the cultural logic of globalization"" as well as the framework of global television formats. The authors suggest that bro'Town represents a complex case of television program adaptation and provides a unique case study to examine the multilayered nature of contemporary hybrid cultural forms moving beyond the simplistic local-global dyad. © 2010 SAGE Publications."
2010-08-31,The American short story since 1950,"The American Short Story since 1950 offers a reappraisal and contextualisation of a critically underrated genre during a particularly rich period in its history. It offers new readings of important stories by key writers including Flannery O'Connor, John Cheever, Donald Barthelme, Raymond Carver, Lorrie Moore and Grace Paley. These readings are related throughout to the various contexts in which stories are written and published, including creative writing schools, story-writing handbooks, mass market and 'little' magazines."
2010-08-31,The American short story since 1950,"This book focuses specifically on short fiction written since 1950, a particularly rich and diverse period in the history of the form. A selective approach has been taken, focusing on the best and most representative work. © Kasia Boddy, 2010."
2010-07-16,"Megaphone: Fault tolerant, scalable, and trustworthy P2P microblogging","Micro-blogging, or the posting of weblogs entries that have a small number of characters (160 characters or less), has recently become more mainstream. Services that implement micro-blogging such as Twitter are usually based on the clientserver model. This limits their scalability and fault tolerance. In this paper, we present a new secure microblogging system that is based on a peer-to-peer network. The network is arranged based on user certificates and is scalable, does not have a single point of failure, and does not depend on a single vendor's proprietary service. The paper outlines the protocol specifics and provides implementation details for a secure, scaleable microblogging system. © 2010 IEEE."
2010-07-01,The mobile text of Dario Fo,
2010-07-01,Web sites as a dialogic tool for charitable fundraising NPOs: A comparative study,"Non-profit organizations (NPOs), which often dispose of a limited budget, can employ their Web sites strategically to communicate with important stakeholders. However, little research, especially in Europe, has been done so far exploring how NPOs are actually taking advantage of this. This study analyzes how charitable fundraising NPOs in Germany and Switzerland employ their Web sites for dialogic communication with donors and media. Results indicate that NPOs provide well-designed Web sites, yet, fail to engage publics in dialogue. New trends, such as Web 2.0, are still hardly taken into account. Whereas donor publics are often addressed, media are often neglected. © 2010 Taylor & Francis Group, LLC."
