Date,Title,Content
2007-12-10,Ultrahigh reactivity provokes nanotoxicity: Explanation of oral toxicity of nano-copper particles,"Recently, studies on the biological effects of nanomaterials show signs that some of the manufactured nanoparticles exhibit unexpected toxicity to living organisms. It has previously been reported that the copper particles possess size-depended toxicity. In this paper, we propose that the ultrahigh chemical reactivity of nano-copper results in the specific nanotoxicity which is fully proved by in vitro and in vivo experiment. Using chemical kinetics study (in vitro) and blood gas and plasma electrolytes analysis (in vivo), we found that high reactivity cause the big toxicological difference between small size (23.5 nm) and big size (17 μm). The result is also consistent with biochemistry assay, pathological examination and copper content measurement in renal tissue in vivo. For chemical reactive nanoparticles, metallic nano-copper for instance, both the particles themselves and the resulting product (copper ion) should be fully explored. The nano-copper particles may not compromise the mice directly, however, they lead to the accumulation of excessive alkalescent substance and heavy metal ions (copper ions) culminating the metabolic alkalosis and copper ion overload. © 2007 Elsevier Ireland Ltd. All rights reserved."
2007-12-01,A sustainable development for nanotechnologies: An OECD perspective,
2007-12-01,"INDA events: Filtration, vision and the IDEA07 preview","The 2006 edition of the annual INDA Filtration Conference and the 2007 Vision Conference were held at the Pennsylvania Convention Center in Philadelphia and in Denver, Colorado respectively. The former attracted 125 exhibitors. The lead-off session was on Hot Topics: Leading Universities in the morning, followed by both an Air Tutorial session and a Liquid Tutorial on Tuesday afternoon. On Wednesday, speakers covered nanosafety in nanotechnologies and applications in nanofiltration. The latter covered presentations by speakers from outside of the nonwovens and absorbent products industries. In general, both events proved to be successful."
2007-10-18,Switchable semiconductive property of the polyhydroxylated metallofullerene,"The temperature-sensitive property of polyhydroxylated metallofullerene film of Gd@C82(OH)x with special hydroxyl number was studied using synchrotron radiation ultraviolet photoelectron spectroscopy (UPS) and TEM techniques. From room temperature (RT) to 4 °C the photoelectron onset energy of the spectra of Gd@C82(OH)12 shifted from 1.9 to 0.2 eV, indicating that Gd@C82(OH)12 automatically shifted from insulator at RT to semiconductor at 4 °C. However, this could not be observed for Gd@C82(OH)20. TEM experiments show that the variation of conductivity can be ascribed to formation of a microcrystal under low temperature. The dipole moment induced unique intermolecular interactions and self-assembled microcrystalline structures for Gd@C82(OH12. This may cause reconstruction of the upper valence band formed by π-like electrons as well as the density of states (DOS) around the Fermi level (EF) and reconstruct the deeper valence band formed by σ-like electrons, eventually resulting in a shift to a semiconducting nature. These findings revealed a novel nature for polyhydroxylated Gd@C82(OH)x materials: Their insulating properties can be controllably tuned into semiconducting ones as a function of temperature. © 2007 American Chemical Society."
2007-10-03,Regulatory instruments for nanotechnology: Worldwide search is in full swing,
2007-09-01,"Transport of intranasally instilled fine Fe<inf>2</inf>O<inf>3</inf> particles into the brain: Micro-distribution, chemical states, and histopathological observation","It has been demonstrated that inhaled fine (d<2.5 μm) and ultrafine (d<100 nm) particles produce more severe toxicity than coarse particles. Some recent data support the concept that the central nervous system (CNS) may be a target for the inhaled fine particulates. This work describes initial observation of the transport of intranasally instilled fine ferric oxide (Fe2O3) particles in animal brain. The iron micro-distribution and chemical state in the mice olfactory bulb and brain stem on day 14 after intranasal instillation of fine Fe2O3 particle (280±80 nm) suspension at a single dose of 40 mg/kg body weight were analyzed by synchrotron radiation x-ray fluorescence and x-ray absorption near-edge structure (XANES). The micro-distribution map of iron in the olfactory bulb and brain stem shows an obvious increase of Fe contents in the olfactory nerve and the trigeminus of brain stem, suggesting that Fe2O3 particles were possibly transported via uptake by sensory nerve endings of the olfactory nerve and trigeminus. The XANES results indicate that the ratios of Fe (III)/Fe (II) were increased in the olfactory bulb and brain stem. The further histopathological observation showed that the neuron fatty degeneration occurred in the CA3 area of hippocampus. Such results imply an adverse impact of inhalation of fine Fe2O3 particles on CNS. © Humana Press Inc. 2007."
2007-08-18,Nanosafety,
2007-08-15,Formulating the problems for environmental risk assessment of nanomaterials,
2007-08-01,Social and ethical interactions with nano: Mapping the early literature,"There is a rapidly expanding field of research on social and ethical interactions with nano-scaled sciences and technologies. An important question is: What does social and ethical research actually mean when it is focussed on technological applications that are largely hypothetical, and a field of science spread out across multiple disciplines and lacking unification? This paper maps early literature in the field of research as a way of answering this question. Our aim is to describe how this field is developing in response to its difficult task, and particularly, to comment on the topics of focus and where there is potential for future development. We present four topical categories, labelled Governance, Perception, Science and Philosophy, and use these as a tool to both map the field and to analyse its development. We find a majority of literature currently focused on issues of governance and perception, and offer suggestions for why this might be so. We then discuss cross-category themes of definition, novelty and interdisciplinarity, highlighting diverse positions and a problematic lack of direct debate. Our conclusion is that the field would benefit from more interaction, cross-referencing and creative research across traditional fields of inquiry. © Springer Science+Business Media B.V. 2007."
2007-06-14,"Photochemical and photophysical properties of three carbon-bridged fullerene dimers: C<inf>121</inf> (I, II, III)","The photochemical and photophysical properties of the three C121 isomers (I, II, III) were investigated with MADLI-TOF-MS, UV-vis spectra, fluorescence spectra, absorption spectra of their DMA complexes, and theoretical calculations. The three isomers of C121 (I, II, III) have different stabilities under laser irradiation, but isomer I and isomer II show good stability against the heat-induced conversion between different isomers: No conversion between the isomers was found after heating the mixture of isomer I and isomer II at 353 K for 12 h in Ar atmosphere. The results of UV-vis absorption and fluorescence spectra indicate that interactions between two C60 moieties of C60=C=C60 in the ground and singlet states are not significant, C121 (I, II, III) behaves as an electron-acceptor similar to C60. These indicate that the formation of the fullerene chain structure (e.g., C60=C=C60) does not disturb the photochemical and photophysical properties of the C60 monomer itself, even that the properties were enhanced by the formation of the polymer. This is significant for the C60 polymer in photochemical or photoelectronic applications in which C60=C=C60 can be an excellent basic unit of polymers. © 2007 American Chemical Society."
2007-03-01,The way of stabilizing non-IPR fullerenes and structural elucidation of C<inf>54</inf>Cl<inf>8</inf>,"Recently, a new non-IPR chlorofullerene C54C18 was isolated experimentally (Science 2004, 304, 699). To explore the ways to stabilize non-IPR fullerenes, the authors studied all of the possible isomers of C54 fullerene and some of the C54Cl8 isomers at PM3, B3LYP/3-21G, and B3LYP/6-31G* levels. Combined with analysis of pentagon distributions, bond resonance energies, and steric strains, C 54:540 with the least number of 5/5 bonds was determined to be the thermodynamically best isomer for the C54Cl8. Based on C54:540, the most probable structure of the experimental C 54Cl8 was elucidated. The results suggested one of the necessary conditions of stabilizing non-IPR fullerenes: chemical derivatizations of either endohedral complexation or exohedral addition need to sufficiently stabilize all of the kinetically unstable 5/5 bonds of the cages. © 2007 Wiley Periodicals, Inc."
